"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 15:57:17 CET 2023","Mon Nov 27 15:57:18 CET 2023","1097","Test todo app","1-requests-todo-app.spec.ts","New Todo via requests","","","should allow me to POST and DELETE todo items via API",""
"passed","Mon Nov 27 15:57:22 CET 2023","Mon Nov 27 15:57:35 CET 2023","13116","Test todo app","lighthouse.spec.ts","web performance tests","","","Run Lighthouse Audit",""
"passed","Mon Nov 27 15:57:21 CET 2023","Mon Nov 27 15:57:22 CET 2023","1005","Test todo app","lighthouse.spec.ts","web performance tests","","","Simulate slow network connection",""
"passed","Mon Nov 27 15:57:14 CET 2023","Mon Nov 27 15:57:17 CET 2023","3134","Test todo app","1-requests-fixture.spec.ts","New Todo via requests","","","should allow me to POST and DELETE todo items via API",""
"passed","Mon Nov 27 15:57:35 CET 2023","Mon Nov 27 15:57:35 CET 2023","13","Test todo app","lighthouse.spec.ts","web performance tests","","","requests",""
"passed","Mon Nov 27 15:57:18 CET 2023","Mon Nov 27 15:57:19 CET 2023","1036","Test todo app","2-demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Mon Nov 27 15:57:20 CET 2023","Mon Nov 27 15:57:21 CET 2023","1196","Test todo app","lighthouse.spec.ts","web performance tests","","","Get resource timing of request",""
