"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 17:12:38 GMT 2024","Wed May 22 17:12:38 GMT 2024","33","Test todo app","lighthouse.spec.ts","web performance tests","","","requests",""
"passed","Wed May 22 17:11:48 GMT 2024","Wed May 22 17:11:50 GMT 2024","1247","Test todo app","2-demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Wed May 22 17:12:06 GMT 2024","Wed May 22 17:12:10 GMT 2024","4209","Test todo app","lighthouse.spec.ts","web performance tests","","","Get resource timing of request",""
"passed","Wed May 22 17:12:11 GMT 2024","Wed May 22 17:12:38 GMT 2024","26854","Test todo app","lighthouse.spec.ts","web performance tests","","","Run Lighthouse Audit",""
"passed","Wed May 22 17:11:34 GMT 2024","Wed May 22 17:11:47 GMT 2024","12669","Test todo app","1-requests-fixture.spec.ts","New Todo via requests","","","should allow me to POST and DELETE todo items via API",""
"passed","Wed May 22 17:12:10 GMT 2024","Wed May 22 17:12:11 GMT 2024","1166","Test todo app","lighthouse.spec.ts","web performance tests","","","Simulate slow network connection",""
"passed","Wed May 22 17:11:47 GMT 2024","Wed May 22 17:11:48 GMT 2024","1274","Test todo app","1-requests-todo-app.spec.ts","New Todo via requests","","","should allow me to POST and DELETE todo items via API",""
